-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
0.46,0.46,0.43,0.26,-0.00
1.44,1.44,6.78,3.91,0.04
3.08,3.08,24.05,20.26,1.44
7.44,7.44,23.40,21.32,1.77
8.58,8.58,28.07,20.22,0.61
9.08,9.08,27.17,22.34,1.53
8.67,8.67,26.30,17.49,0.99
8.08,8.08,27.69,20.91,0.59
6.34,6.34,22.98,16.36,1.25
5.76,5.76,28.42,21.52,1.33
7.97,7.97,24.49,17.68,0.88
8.28,8.28,26.34,19.72,0.98
6.76,6.76,26.25,18.31,0.41
6.56,6.56,24.48,16.25,0.45
7.20,7.20,24.75,16.73,0.29
6.72,6.72,23.25,17.39,0.14
5.62,5.62,26.91,18.71,0.23
5.23,5.23,24.29,16.70,0.04
5.35,5.35,25.25,16.65,0.14
4.58,4.58,23.43,15.04,0.23
3.98,3.98,24.65,15.76,0.01
3.78,3.78,24.81,15.68,0.15
3.67,3.67,26.04,16.96,0.05
3.24,3.24,23.48,14.18,0.00
1.92,1.92,23.64,15.27,0.01
3.10,3.10,26.37,17.52,-0.00
4.17,4.17,20.85,14.55,-0.00
3.99,3.99,23.76,14.95,-0.00
3.47,3.47,25.17,16.29,0.00
5.30,5.30,21.82,14.52,0.14
5.38,5.38,22.81,14.63,0.02
4.47,4.47,22.72,13.24,-0.00
5.03,5.03,23.47,13.87,0.07
6.44,6.44,19.13,13.47,0.00
7.16,7.16,22.63,14.50,0.02
7.78,7.78,21.72,12.95,0.11
8.66,8.66,20.28,13.30,0.03
9.47,9.47,22.49,14.40,0.01
10.81,10.81,20.97,13.28,0.24
12.24,12.24,18.82,11.67,0.43
13.45,13.45,19.42,12.81,1.02
13.85,13.85,22.40,14.41,1.29
13.47,13.47,17.73,10.59,1.21
13.28,13.28,20.32,12.87,1.22
13.18,13.18,19.35,10.62,1.15
12.70,12.70,17.43,10.53,0.94
11.47,11.47,15.31,8.08,0.69
9.87,9.87,16.88,10.37,0.30
7.92,7.92,14.76,10.00,0.01
5.29,5.29,10.85,5.09,-0.00
2.46,2.46,16.33,9.07,-0.00
1.29,1.29,14.78,8.75,-0.00
1.42,1.42,12.32,7.06,-0.00
2.21,2.21,14.63,7.24,-0.00
2.43,2.43,10.19,3.61,-0.00
2.27,2.27,10.98,5.27,-0.00
2.33,2.33,13.16,5.94,-0.00
1.91,1.91,12.00,4.58,-0.00
1.12,1.12,11.08,4.06,-0.00
0.43,0.43,11.22,3.83,-0.00
0.03,0.03,10.86,2.56,-0.00
-0.00,-0.00,5.13,0.62,-0.00
-0.00,-0.00,5.58,1.51,-0.00
-0.00,-0.00,7.93,1.82,-0.00
-0.00,-0.00,5.37,1.11,-0.00
-0.00,-0.00,5.15,1.12,-0.00
-0.00,-0.00,7.42,1.53,-0.00
-0.00,-0.00,4.37,0.60,-0.00
-0.00,-0.00,4.86,0.71,-0.00
0.08,0.08,7.69,0.99,-0.00
0.83,0.83,5.78,0.58,-0.00
3.31,3.31,6.82,1.88,-0.00
10.81,10.81,11.72,5.38,1.53
22.26,22.26,22.97,18.48,10.98
28.92,28.92,29.46,27.27,19.25
39.73,39.73,33.73,28.00,31.04
44.14,44.14,37.45,31.50,41.78
42.60,42.60,37.52,33.45,45.49
44.11,44.11,30.72,34.08,57.94
51.98,51.98,26.28,37.35,65.63
53.53,53.53,18.90,26.22,66.76
54.94,54.94,20.79,30.22,66.83
54.67,54.67,24.07,32.94,67.23
54.79,54.79,24.18,28.41,67.33
55.43,55.43,23.75,27.70,64.76
58.23,58.23,22.95,28.06,64.31
57.80,57.80,23.99,26.83,63.58
56.89,56.89,21.85,25.38,64.51
56.23,56.23,20.79,23.73,65.57
54.64,54.64,22.10,17.86,66.98
54.82,54.82,22.21,19.10,68.30
54.42,54.42,19.55,19.86,69.00
57.11,57.11,25.32,27.14,69.81
58.03,58.03,24.72,28.06,71.52
57.75,57.75,23.78,21.56,71.65
56.58,56.58,24.68,23.15,71.87
56.63,56.63,22.31,24.86,71.72
54.14,54.14,22.26,26.92,70.93
54.26,54.26,22.52,22.19,70.27
55.64,55.64,22.32,23.50,67.92
56.23,56.23,24.34,22.87,68.64
57.66,57.66,23.21,20.32,69.10
55.60,55.60,19.23,17.51,68.55
57.73,57.73,20.99,24.58,69.02
56.70,56.70,20.18,25.32,69.86
56.70,56.70,21.77,25.58,69.50
55.82,55.82,20.97,22.29,70.26
56.66,56.66,19.66,23.56,69.82
56.32,56.32,19.95,24.11,70.76
57.39,57.39,20.82,26.31,68.53
58.33,58.33,20.09,25.05,67.50
58.76,58.76,17.15,21.58,68.23
58.66,58.66,18.54,26.54,68.51
58.28,58.28,19.58,26.16,68.63
57.29,57.29,19.35,21.07,67.21
56.80,56.80,19.96,20.89,67.05
59.96,59.96,17.87,25.24,69.90
59.35,59.35,14.79,21.24,68.88
61.81,61.81,15.22,19.32,69.64
